#{"t_start": 1716624963.8867364, "env_id": "None"}
r,l,t
31.688152,101,57.837974
25.450165,86,57.982673
28.414154,90,57.982673
30.397612,111,58.009048
26.760786,90,58.133704
28.476448,91,58.171033
30.175587,112,58.180133
18.75163,82,58.307745
28.661325,93,58.350549
30.121338,102,58.408723
30.218855,95,58.557605
30.013638,103,58.634993
30.480337,102,58.668585
30.514227,103,58.777325
30.618341,104,58.8495
31.236471,105,58.87554
30.809322,103,58.982837
30.75943,97,59.048967
30.402578,96,59.076507
4.769209,47,59.177679
30.414461,99,59.193709
30.95774,103,59.275977
4.3535123,41,59.288507
4.013856,39,59.416379
4.0936565,40,59.438956
30.55136,102,59.474503
4.0474024,38,59.506069
4.093211,39,59.526626
4.098599,38,59.547678
4.04149,38,59.588768
3.972426,38,59.605787
3.9886496,37,59.621828
4.0042744,37,59.651853
3.9791632,37,59.670879
4.0589604,38,59.698918
4.0712333,38,59.733506
4.1485553,41,59.753033
3.9679935,38,59.772861
4.1186185,38,59.810927
3.996105,37,59.835498
3.9984365,38,59.853857
4.1130934,39,59.88621
4.048808,38,59.900727
4.111454,38,59.923279
4.1175013,39,59.95683
4.1330748,39,59.972639
4.2201443,40,59.989482
4.0858765,38,60.016029
4.182006,39,60.031557
4.323414,41,60.057
4.208866,39,60.083035
4.576606,44,60.129849
29.798601,103,60.204466
30.562262,103,60.246016
30.465937,102,60.313102
4.791093,48,60.350886
30.355545,102,60.392963
4.708056,46,60.431159
30.855303,101,60.486258
4.687635,46,60.502879
30.76551,98,60.602109
4.589258,47,60.695369
30.542074,100,60.716102
30.72041,101,60.734646
4.6247115,45,60.775728
4.3983293,42,60.786248
4.1908565,39,60.804281
4.32685,41,60.848872
4.2220197,40,60.867347
4.514238,43,60.896883
4.2607007,40,60.937986
4.280802,40,60.94751
4.3695383,41,60.974074
4.3233023,41,61.021407
4.5811625,46,61.041976
30.268332,104,61.180082
30.339573,102,61.213636
30.311775,101,61.239681
4.6450896,45,61.309029
4.6413517,45,61.328144
30.377317,102,61.391255
4.784491,49,61.414293
4.2241173,40,61.419807
4.7281394,46,61.524558
30.928331,99,61.654743
31.051916,98,61.655742
30.668821,100,61.715314
30.724558,100,61.821323
30.227247,104,61.826796
30.684593,98,61.867854
30.55165,100,61.969519
30.550514,98,61.97402
30.589598,100,62.02811
30.46131,96,62.117865
30.266283,101,62.136949
30.723583,101,62.195341
30.295736,96,62.288488
30.211304,101,62.305506
30.358538,95,62.34155
30.384546,96,62.435089
30.62387,98,62.457111
29.957102,95,62.487668
30.55268,99,62.583337
28.157234,92,62.592344
30.289515,98,62.642374
27.924692,89,62.717977
30.342012,96,62.740225
30.417044,96,62.827437
29.453665,93,62.9146
29.781,93,62.934637
30.003593,94,62.983712
26.655943,88,63.045289
28.793612,91,63.069328
29.449108,92,63.118528
27.657566,89,63.176617
27.781462,89,63.211177
29.176817,92,63.260547
28.50016,90,63.327152
28.224764,91,63.354698
24.643707,84,63.392296
24.90797,84,63.458465
24.172333,83,63.483499
24.334436,83,63.525847
22.598059,81,63.581962
21.807455,80,63.606501
24.623165,84,63.689535
26.34034,87,63.770425
23.818068,82,63.789476
23.22809,84,63.841538
25.881266,86,63.927187
23.667217,83,63.93871
22.570463,82,63.992308
21.470015,80,64.055642
21.994785,81,64.08325
22.511656,82,64.137375
24.322773,84,64.212901
23.513098,82,64.221415
25.36446,85,64.27509
24.31544,85,64.348226
27.666643,89,64.365249
26.85174,87,64.421367
24.870352,84,64.480439
26.534315,86,64.497964
25.87804,86,64.552384
25.546295,85,64.607592
22.737728,81,64.624682
26.395308,86,64.682938
23.155499,82,64.74061
23.693922,82,64.755128
20.486135,78,64.806568
21.23102,79,64.899637
20.968725,80,64.921678
20.438145,79,64.984178
20.865833,79,65.035743
24.724829,84,65.064347
27.642872,88,65.117642
26.175268,86,65.17136
30.275574,94,65.213431
24.246103,83,65.253001
25.185112,84,65.312451
24.498915,83,65.343009
25.866446,86,65.392109
23.23692,83,65.438297
23.249172,82,65.469141
22.986368,81,65.532089
20.087378,77,65.574959
20.823242,78,65.613028
18.242565,75,65.648743
22.883524,81,65.709284
22.63013,80,65.742189
22.01943,79,65.775737
27.587687,88,65.846009
28.180443,89,65.877702
29.371773,92,65.917785
28.299364,89,66.020506
27.37284,88,66.056591
28.173506,90,66.107299
28.745375,91,66.166809
24.543356,83,66.185318
25.045244,85,66.234657
23.686283,82,66.292086
22.141657,81,66.307111
22.345266,81,66.358877
25.725485,86,66.420356
27.044914,87,66.450397
24.600695,83,66.489263
26.240835,86,66.557568
26.60902,87,66.591116
21.892466,79,66.625694
22.931952,81,66.720476
23.54051,82,66.749082
25.809242,85,66.793462
20.116148,77,66.870574
20.926138,79,66.896624
22.401144,80,66.942208
22.04036,80,67.055498
20.213564,78,67.081542
17.132145,74,67.11208
18.083456,77,67.177966
17.885382,75,67.2005
17.293926,74,67.231058
20.928434,79,67.348265
