#{"t_start": 1716802849.8440201, "env_id": "None"}
r,l,t
-20325.322,45,21.296434
-20326.158,45,21.306961
-20258.92,38,21.334505
-20296.842,42,21.359704
-20369.588,49,21.381776
-20331.494,45,21.402797
-20346.18,47,21.426865
-20319.232,44,21.44988
-20296.074,42,21.466912
-20308.96,43,21.495086
-20335.107,46,21.51511
-20295.193,42,21.526622
-20384.463,50,21.573214
-20278.541,40,21.581732
-20287.764,41,21.59878
-20328.967,45,21.70858
-20440.838,56,21.71911
-20299.912,42,21.71911
-20277.268,40,21.784506
-20267.625,39,21.793568
-20269.46,39,21.793568
-20278.918,40,21.84815
-20277.258,40,21.856666
-20289.324,41,21.857666
-20307.22,43,21.924303
-20269.225,39,21.925305
-20287.174,41,21.927812
-20268.775,39,21.985941
-20297.926,42,21.987941
-20319.635,44,22.001963
-20298.773,42,22.057251
-20278.14,40,22.057251
-20286.426,41,22.067276
-20267.184,39,22.148299
-20296.498,42,22.1513
-20278.982,40,22.15844
-20288.467,41,22.215546
-20318.273,44,22.215546
-20268.943,39,22.218805
-20270.146,39,22.277338
-20266.91,39,22.277338
-20300.434,42,22.287851
-20268.023,39,22.335741
-20299.582,42,22.343246
-20318.031,44,22.352254
-20296.266,42,22.406273
-20267.037,39,22.406273
-20275.135,40,22.415414
-20279.695,40,22.460544
-20277.994,40,22.460544
-20259.402,38,22.468093
-20270.686,39,22.516672
-20300.18,42,22.521672
-20268.428,39,22.527184
-20288.686,41,22.573741
-20287.947,41,22.576744
-20317.13,44,22.58726
-20286.691,41,22.63484
-20269.367,39,22.643315
-20347.59,47,22.647314
-20276.09,40,22.688891
-20269.611,39,22.698401
-20280.072,40,22.698401
-20277.963,40,22.745242
-20289.438,41,22.759262
-20298.943,42,22.760273
-20268.406,39,22.798863
-20269.025,39,22.809384
-20279.066,40,22.813894
-20299.004,42,22.858943
-20258.916,38,22.865966
-20289.055,41,22.872974
-20258.865,38,22.914569
-20278.225,40,22.926082
-20259.977,38,22.931247
-20250.445,37,22.97432
-20250.98,37,22.982323
-20251.133,37,22.987649
-20258.814,38,23.031491
-20269.34,39,23.043015
-20250.795,37,23.044014
-20269.053,39,23.090109
-20258.66,38,23.102629
-20278.63,40,23.103628
-20250.633,37,23.141824
-20259.482,38,23.15585
-20279.04,40,23.156852
-20259.865,38,23.191265
-20250.725,37,23.203789
-20250.607,37,23.204787
-20259.564,38,23.250355
-20250.76,37,23.262888
-20259.76,38,23.265926
-20251.738,37,23.302215
-20250.717,37,23.312728
-20251.396,37,23.315242
-20260.576,38,23.357293
-20251.076,37,23.365815
-20251.393,37,23.369331
-20251.113,37,23.409873
-20250.717,37,23.420988
-20251.152,37,23.423387
-20250.717,37,23.467271
-20250.717,37,23.475528
-20250.717,37,23.479529
-20259.867,38,23.515071
-20250.691,37,23.527592
-20250.691,37,23.529674
-20250.717,37,23.620366
-20250.727,37,23.62983
-20250.717,37,23.631829
-20260.643,38,23.683946
-20250.717,37,23.69246
-20250.975,37,23.696456
-20259.105,38,23.737244
-20259.875,38,23.744755
-20259.617,38,23.745755
-20259.299,38,23.790812
-20250.568,37,23.794324
-20259.072,38,23.799333
-20250.703,37,23.854937
-20250.717,37,23.86145
-20250.904,37,23.863964
-20250.717,37,23.913089
-20250.717,37,23.920089
-20250.717,37,23.925603
-20250.717,37,23.975729
-20250.717,37,23.982666
-20251.254,37,23.984667
-20250.717,37,24.027617
-20250.717,37,24.03377
-20250.717,37,24.037768
-20251.18,37,24.087698
-20250.717,37,24.091701
-20250.752,37,24.098748
-20259.37,38,24.143823
-20250.717,37,24.149338
-20250.717,37,24.151336
-20250.717,37,24.214092
-20250.717,37,24.217091
-20250.717,37,24.223619
-20250.717,37,24.264512
-20250.717,37,24.269514
-20250.717,37,24.272515
-20250.717,37,24.321597
-20250.396,37,24.328644
-20251.031,37,24.33564
-20250.717,37,24.380797
-20250.717,37,24.383724
-20250.717,37,24.389722
-20250.717,37,24.443441
-20250.717,37,24.450952
-20250.717,37,24.453953
-20250.717,37,24.502936
-20250.717,37,24.505942
-20250.717,37,24.511452
-20250.91,37,24.56046
-20250.717,37,24.567503
-20250.717,37,24.570503
-20250.717,37,24.619094
-20250.717,37,24.624094
-20250.717,37,24.629611
-20250.717,37,24.674206
-20250.703,37,24.68072
-20250.717,37,24.690234
-20250.717,37,24.734114
-20250.717,37,24.739114
-20250.717,37,24.741114
-20250.717,37,24.784692
-20250.717,37,24.787206
-20250.717,37,24.792205
-20250.717,37,24.839313
-20250.79,37,24.84532
-20250.717,37,24.847322
-20250.717,37,24.892616
-20250.717,37,24.899625
-20250.717,37,24.906142
-20250.717,37,24.968326
-20250.717,37,24.970325
-20250.717,37,24.976325
-20260.486,38,25.033454
-20250.717,37,25.038511
-20250.717,37,25.040537
-20250.717,37,25.098665
-20250.717,37,25.100667
-20250.717,37,25.106171
-20250.717,37,25.152976
-20250.717,37,25.159482
-20250.717,37,25.161492
-20250.717,37,25.232811
-20250.717,37,25.235324
-20250.717,37,25.240327
-20250.717,37,25.28489
-20250.717,37,25.28589
-20250.717,37,25.293411
-20250.717,37,25.340994
-20250.717,37,25.345436
-20250.717,37,25.348435
-20250.717,37,25.393976
-20250.717,37,25.395483
-20250.717,37,25.401489
-20250.717,37,25.477672
-20250.717,37,25.485188
