#{"t_start": 1716641042.527058, "env_id": "None"}
r,l,t
-64.0,66,90.68494
-69.0,71,90.726554
-164.0,166,91.062839
-154.0,156,91.075004
-220.0,222,91.140643
-68.0,70,91.33457
-129.0,131,91.372162
-157.0,159,91.414981
-58.0,60,91.433002
-59.0,61,91.467086
-150.0,152,91.854257
-179.0,181,91.883385
-175.0,177,92.027774
-58.0,60,92.046336
-58.0,60,92.086021
-57.0,59,92.152703
-57.0,59,92.172742
-57.0,59,92.209316
-59.0,61,92.347204
-56.0,58,92.36073
-56.0,58,92.39131
-53.0,55,92.453748
-56.0,58,92.47481
-59.0,61,92.514915
-57.0,59,92.646337
-55.0,57,92.670384
-54.0,56,92.697967
-54.0,56,92.767661
-54.0,56,92.780704
-56.0,58,92.816293
-55.0,57,92.916887
-55.0,57,92.967556
-55.0,57,93.009357
-56.0,58,93.090632
-56.0,58,93.11269
-153.0,155,93.492981
-141.0,143,93.519526
-144.0,184,93.586166
-102.0,104,93.65929
-53.0,55,93.65929
-53.0,55,93.739148
-54.0,56,93.739148
-160.0,244,93.82218
-136.0,138,94.010265
-139.0,141,94.013267
-84.0,86,94.122577
-100.0,102,94.358031
-105.0,107,94.36504
-140.0,142,94.568057
-59.0,61,94.590103
-72.0,74,94.632208
-58.0,60,94.744219
-74.0,76,94.910185
-54.0,56,94.953304
-125.0,141,94.98086
-57.0,59,95.019935
-55.0,57,95.056635
-67.0,69,95.102721
-122.0,124,95.482906
-100.0,102,95.50054
-160.0,162,95.516064
-178.0,180,96.046491
-222.0,250,96.166854
-167.0,289,96.485826
-142.0,164,96.732116
-78.0,80,96.807307
-151.0,153,96.985585
-55.0,57,96.996111
-60.0,62,97.053963
-60.0,62,97.09265
-57.0,59,97.093652
-53.0,55,97.147786
-50.0,52,97.167396
-50.0,52,97.168397
-226.0,254,98.064896
-239.0,299,98.305519
-218.0,300,98.379762
-121.0,169,98.709897
-119.0,165,98.752555
-129.0,161,98.878381
-48.0,50,98.90095
-51.0,53,99.0104
-50.0,52,99.079623
-50.0,52,99.117754
-52.0,54,99.215605
-50.0,52,99.232647
-51.0,53,99.25217
-53.0,55,99.429838
-70.0,72,99.823367
-51.0,53,100.070718
-46.0,48,100.161386
-184.0,222,100.186486
-190.0,236,100.187488
-45.0,47,100.320851
-49.0,51,100.359424
-50.0,52,100.366485
-48.0,50,100.418657
-49.0,51,100.468356
-49.0,51,100.475389
-126.0,128,100.793449
-122.0,124,100.86128
-124.0,126,100.874819
-55.0,57,100.97956
-150.0,152,101.331461
-116.0,118,101.341977
-161.0,163,101.351291
-56.0,58,101.509743
-58.0,60,101.520252
-60.0,62,101.54734
-97.0,99,101.668945
-97.0,99,101.68198
-100.0,102,101.770725
-46.0,48,101.810733
-45.0,47,101.820256
-48.0,50,101.845801
-51.0,53,101.898399
-49.0,51,101.904408
-168.0,192,102.400858
-177.0,213,102.450487
-211.0,283,102.511121
-74.0,76,102.54267
-70.0,72,102.561703
-50.0,52,102.694702
-82.0,84,102.698699
-56.0,58,102.805463
-59.0,61,102.819057
-223.0,255,103.108129
-141.0,143,103.129174
-151.0,153,103.1447
-113.0,215,103.557553
-124.0,212,103.561553
-135.0,137,103.915554
-141.0,143,103.929069
-151.0,389,104.072408
-57.0,59,104.151837
-142.0,144,104.522399
-200.0,202,104.561728
-71.0,73,104.717642
-236.0,300,104.769231
-118.0,120,104.855925
-105.0,107,104.98793
-128.0,130,105.09918
-55.0,57,105.102199
-141.0,143,105.167326
-185.0,187,105.488391
-157.0,187,105.490391
-185.0,187,105.572745
-59.0,61,105.589279
-61.0,63,105.596286
-173.0,175,106.051674
-179.0,181,106.074713
-228.0,270,106.242153
-136.0,138,106.387621
-49.0,51,106.395141
-54.0,56,106.473218
-152.0,212,106.473218
-53.0,55,106.479732
-123.0,125,106.745703
-132.0,134,106.759218
-130.0,132,106.76374
-151.0,199,107.253487
-46.0,48,107.324134
-128.0,272,107.374757
-42.0,44,107.390796
-98.0,294,107.415349
-64.0,66,107.57225
-49.0,51,107.57225
-75.0,77,107.573249
-48.0,50,107.683925
-48.0,50,107.683925
-50.0,52,107.686925
-48.0,50,107.856397
-49.0,51,107.857395
-48.0,50,107.862916
-49.0,51,107.951113
-49.0,51,107.95311
-56.0,58,107.975148
-55.0,57,108.210268
-55.0,57,108.211267
-52.0,54,108.229324
-67.0,69,108.352042
-68.0,70,108.35706
-69.0,71,108.37059
-181.0,205,109.022377
-51.0,53,109.12439
-147.0,281,109.148421
-141.0,289,109.164458
-74.0,76,109.382599
-70.0,100,109.478992
-52.0,54,109.490489
-146.0,148,109.636862
-54.0,56,109.667444
-59.0,61,109.682967
-61.0,63,109.770653
-65.0,67,109.802755
-60.0,62,109.82046
-128.0,130,110.126873
-142.0,204,110.205273
-45.0,47,110.251035
-55.0,57,110.360329
-57.0,59,110.361329
-102.0,104,110.688184
-104.0,106,110.68919
-48.0,50,110.78403
-48.0,50,110.78504
-161.0,433,110.84418
-48.0,50,110.871713
-49.0,51,110.876708
-52.0,54,111.038339
-52.0,54,111.054374
-53.0,55,111.057375
-59.0,61,111.144836
-56.0,58,111.160549
-54.0,56,111.161546
-103.0,105,111.408769
-97.0,99,111.424285
-98.0,100,111.424285
-70.0,72,111.68305
-70.0,72,111.68305
-105.0,107,111.731658
-50.0,52,111.803731
-52.0,54,111.809252
-52.0,54,111.871959
-125.0,127,112.253308
-146.0,182,112.311454
-169.0,185,112.313454
-83.0,85,112.569029
-46.0,48,112.659798
-110.0,112,112.668323
-110.0,112,112.670324
-51.0,53,112.750041
-227.0,259,113.374009
-285.0,363,113.536903
-59.0,61,113.544912
-292.0,416,113.609566
-177.0,297,114.127147
-91.0,309,114.141676
-53.0,55,114.227841
-209.0,309,114.230359
-52.0,54,114.235366
-161.0,163,114.563204
-157.0,159,114.567201
-168.0,170,114.581734
-145.0,201,115.143252
-164.0,272,115.313663
-151.0,329,115.465353
-55.0,57,115.466862
-141.0,143,115.505811
-43.0,45,115.543673
-44.0,46,115.544674
-61.0,63,115.675499
-88.0,90,115.770734
-87.0,89,115.774733
-50.0,52,115.781256
-47.0,49,115.847921
-46.0,48,115.847921
-48.0,50,115.855441
-147.0,219,116.362761
-152.0,228,116.367775
-116.0,242,116.3866
-41.0,43,116.42425
-48.0,50,116.436775
-48.0,50,116.457818
-41.0,43,116.488397
-42.0,44,116.504942
-48.0,50,116.535499
-49.0,51,116.643764
-49.0,51,116.657825
-50.0,52,116.682859
-49.0,51,116.706234
-50.0,52,116.731285
-49.0,51,116.766845
-51.0,53,116.802463
-60.0,62,116.944803
-60.0,62,117.027519
-54.0,56,117.11622
-51.0,53,117.189879
-173.0,231,117.296168
-96.0,98,117.425084
-91.0,93,117.44613
-157.0,265,117.479286
-55.0,57,117.677276
-129.0,185,117.854216
-162.0,212,117.876246
-57.0,59,118.037733
-56.0,58,118.05431
-55.0,57,118.128634
-138.0,244,118.16119
-51.0,53,118.282042
-94.0,96,118.387803
-103.0,109,118.45858
-89.0,91,118.681648
-109.0,175,118.761836
-99.0,101,118.953323
-97.0,409,118.973384
-74.0,76,118.995452
-40.0,42,119.032773
-40.0,42,119.049297
-42.0,44,119.064325
-46.0,48,119.107922
-45.0,47,119.138309
-44.0,46,119.147818
-47.0,49,119.315498
-80.0,82,119.366253
-46.0,48,119.404975
-50.0,52,119.448571
-47.0,49,119.549836
-48.0,50,119.596731
-135.0,197,119.603245
-55.0,57,119.645351
-67.0,69,119.74904
-120.0,122,119.891383
-129.0,131,119.908941
-55.0,57,119.929889
-56.0,58,119.982175
-54.0,56,119.998692
-44.0,46,120.051817
-43.0,45,120.065379
-99.0,101,120.095086
-42.0,44,120.202908
-42.0,44,120.216995
-42.0,44,120.242044
-45.0,47,120.268376
-44.0,46,120.280899
-44.0,46,120.320496
-43.0,45,120.347535
-45.0,47,120.365568
-60.0,62,120.45386
-62.0,64,120.515507
-61.0,63,120.527032
-58.0,60,120.630789
-102.0,104,120.661851
-106.0,108,120.694453
-43.0,45,120.703971
-44.0,46,120.796757
-42.0,44,121.051445
-69.0,71,121.091198
-78.0,80,121.106253
-42.0,44,121.174557
-42.0,44,121.196566
-42.0,44,121.202575
-44.0,46,121.287214
-44.0,46,121.290212
-59.0,61,121.290212
-49.0,51,121.475206
-50.0,52,121.476207
-53.0,55,121.480205
-43.0,45,121.542703
-44.0,46,121.542703
-44.0,46,121.544702
-79.0,105,121.797241
-92.0,108,121.802243
-92.0,106,121.802243
-76.0,104,122.216544
-88.0,108,122.313831
-94.0,108,122.39004
-94.0,96,122.720503
-98.0,100,122.720503
-102.0,104,122.731026
-52.0,54,122.90095
-52.0,54,122.90095
-52.0,54,122.913723
-136.0,138,123.519037
