#{"t_start": 1716648255.1611516, "env_id": "None"}
r,l,t
-50.0,52,63.763511
-45.0,47,63.812126
-52.0,54,63.81764
-54.0,56,63.846702
-49.0,51,63.886788
-56.0,58,63.902935
-53.0,55,63.920459
-46.0,48,63.943516
-42.0,44,63.952047
-52.0,54,63.994654
-52.0,54,64.120469
-48.0,50,64.126982
-49.0,51,64.162544
-46.0,48,64.180991
-44.0,46,64.182992
-51.0,53,69.876553
-47.0,49,69.90411
-52.0,54,69.907109
-39.0,41,69.930843
-45.0,47,69.954879
-43.0,45,69.955879
-49.0,51,70.048123
-47.0,49,70.110822
-49.0,51,70.114829
-45.0,47,70.148354
-48.0,50,70.169385
-46.0,48,70.170385
-50.0,52,70.197933
-47.0,49,70.218359
-52.0,54,70.224366
-51.0,53,70.267441
-51.0,53,70.292526
-57.0,59,70.294523
-42.0,44,70.320085
-46.0,48,70.36115
-49.0,51,70.36215
-44.0,46,70.377827
-43.0,45,70.414475
-49.0,51,70.422983
-47.0,49,70.438504
-43.0,45,70.571466
-43.0,45,70.578466
-44.0,46,70.592499
-48.0,50,70.622576
-49.0,51,70.630592
-50.0,52,70.647631
-41.0,43,70.687693
-53.0,55,70.692696
-48.0,50,70.712826
-45.0,47,70.737854
-50.0,52,70.749867
-48.0,50,70.765393
-49.0,51,70.790108
-50.0,52,70.801149
-46.0,48,70.821174
-46.0,48,70.85274
-45.0,47,70.888781
-46.0,48,70.961956
-44.0,46,71.024621
-41.0,43,71.035145
-45.0,47,71.102314
-43.0,45,71.125384
-52.0,54,71.138918
-49.0,51,71.155432
-47.0,49,71.184992
-47.0,49,71.200538
-48.0,50,71.218076
-54.0,56,71.254184
-48.0,50,71.26471
-43.0,45,71.283734
-46.0,48,71.321809
-47.0,49,71.336828
-44.0,46,71.344838
-50.0,52,71.48717
-43.0,45,71.491178
-48.0,50,71.50319
-47.0,49,71.540257
-49.0,51,71.545261
-45.0,47,71.553778
-45.0,47,71.59339
-45.0,47,71.599396
-44.0,46,71.609438
-40.0,42,71.653478
-43.0,45,71.670517
-53.0,55,71.673515
-43.0,45,71.703555
-44.0,46,71.722598
-48.0,50,71.729595
-49.0,51,71.771636
-38.0,40,71.776151
-43.0,45,71.789677
-46.0,48,71.930537
-47.0,49,71.937055
-44.0,46,71.946568
-43.0,45,71.974607
-48.0,50,71.986145
-42.0,44,71.989657
-46.0,48,72.034863
-43.0,45,72.044894
-45.0,47,72.048895
-49.0,51,72.095492
-44.0,46,72.099501
-44.0,46,72.105537
-49.0,51,72.161334
-47.0,49,72.162333
-43.0,45,72.164331
-42.0,44,72.215425
-43.0,45,72.217934
-44.0,46,72.217934
-42.0,44,72.353563
-40.0,42,72.357563
-43.0,45,72.367087
-45.0,47,72.420719
-45.0,47,72.421719
-51.0,53,72.430242
-41.0,43,72.462793
-43.0,45,72.465794
-44.0,46,72.479851
-44.0,46,72.521439
-49.0,51,72.561545
-44.0,46,72.567063
-43.0,45,72.607641
-44.0,46,72.619165
-44.0,46,72.625165
-45.0,47,72.671339
-46.0,48,72.682865
-50.0,52,72.692382
-48.0,50,72.87183
-44.0,46,72.891884
-43.0,45,72.909455
-44.0,46,72.947135
-43.0,45,72.952151
-44.0,46,72.96067
-42.0,44,72.988713
-45.0,47,72.998225
-43.0,45,73.007241
-48.0,50,73.050325
-44.0,46,73.053833
-44.0,46,73.060848
-40.0,42,73.101546
-46.0,48,73.111572
-46.0,48,73.120103
-49.0,51,73.168217
-44.0,46,73.172727
-47.0,49,73.184242
-44.0,46,78.719697
-47.0,49,78.726701
-41.0,43,78.730208
-41.0,43,78.760765
-42.0,44,78.769775
-44.0,46,78.777288
-40.0,42,78.817024
-42.0,44,78.828534
-40.0,42,78.832534
-40.0,42,78.863574
-38.0,40,78.87709
-43.0,45,78.887606
-42.0,44,78.93471
-42.0,44,78.948235
-44.0,46,78.961759
-39.0,41,79.008353
-54.0,56,79.016862
-47.0,49,79.034901
-45.0,47,79.139642
-44.0,46,79.17774
-41.0,43,79.21133
-47.0,49,79.248424
-43.0,45,79.249424
-41.0,43,79.257947
-42.0,44,79.317651
-43.0,45,79.317651
-41.0,43,79.328193
-38.0,40,79.370288
-40.0,42,79.373296
-39.0,41,79.38183
-42.0,44,79.435938
-42.0,44,79.43994
-42.0,44,79.447468
-43.0,45,79.495535
-48.0,50,79.506052
-42.0,44,79.509582
-43.0,45,79.652459
-41.0,43,79.654459
-44.0,46,79.676506
-39.0,41,79.729622
-45.0,47,79.735028
-44.0,46,79.762049
-39.0,41,79.808556
-38.0,40,79.812557
-45.0,47,79.832126
-41.0,43,79.879225
-42.0,44,79.886739
-40.0,42,79.89826
-42.0,44,79.947339
-45.0,47,79.956849
-41.0,43,79.963858
-40.0,42,80.151849
-41.0,43,80.165376
-43.0,45,80.181425
-42.0,44,80.213987
-43.0,45,80.224005
-41.0,43,80.232024
-42.0,44,80.267638
-42.0,44,80.293654
-40.0,42,80.299175
-41.0,43,80.342782
-41.0,43,80.356306
-41.0,43,80.360811
-40.0,42,80.406907
-38.0,40,80.418926
-40.0,42,80.427438
-42.0,44,80.467518
-42.0,44,80.476526
-44.0,46,80.517155
-44.0,46,80.64243
-40.0,42,80.64543
-47.0,49,80.662463
-40.0,42,80.686497
-41.0,43,80.695016
-39.0,41,80.708527
-40.0,42,80.757291
-43.0,45,80.767373
-40.0,42,80.778903
-42.0,44,80.811451
-44.0,46,80.832994
-40.0,42,80.841505
-43.0,45,80.877712
-44.0,46,80.894229
-45.0,47,80.907259
-38.0,40,80.95145
-46.0,48,80.980011
-45.0,47,80.990031
-40.0,42,81.010079
-42.0,44,81.13992
-49.0,51,81.154449
-38.0,40,81.16297
-41.0,43,81.195536
-40.0,42,81.207361
-42.0,44,81.214871
-44.0,46,81.239435
-41.0,43,81.24795
-40.0,42,81.254956
-43.0,45,81.280506
-40.0,42,81.285505
-44.0,46,81.301525
-45.0,47,81.328895
-41.0,43,81.331398
-39.0,41,81.33941
-41.0,43,81.367475
-42.0,44,81.369473
-46.0,48,81.380995
-44.0,46,81.408137
-52.0,54,81.418149
-39.0,41,81.421153
-42.0,44,81.475386
-40.0,42,81.480895
-44.0,46,81.481903
-42.0,44,81.514205
-40.0,42,81.517714
-44.0,46,81.52072
-42.0,44,81.558789
-39.0,41,81.560786
-42.0,44,81.566383
-40.0,42,81.597335
-42.0,44,81.597335
-42.0,44,81.604852
-40.0,42,81.634909
-41.0,43,81.63591
-52.0,54,81.652929
-42.0,44,81.683481
-43.0,45,81.683481
-45.0,47,81.703
-40.0,42,81.719427
-45.0,47,81.723425
-40.0,42,81.737977
-44.0,46,81.759012
-43.0,45,81.763021
-56.0,58,81.794134
-42.0,44,81.801641
-41.0,43,81.804649
-41.0,43,81.829172
-37.0,39,81.83368
-43.0,45,81.841684
-42.0,44,87.519136
-48.0,50,87.530167
-41.0,43,87.53217
-41.0,43,87.57073
-39.0,41,87.583781
-40.0,42,87.589791
-39.0,41,87.622342
-39.0,41,87.634376
-40.0,42,87.639902
-41.0,43,87.676475
-38.0,40,87.69151
-43.0,45,87.69251
-41.0,43,87.732755
-39.0,41,87.745282
-41.0,43,87.747281
-40.0,42,87.784914
-39.0,41,87.79643
-40.0,42,87.799445
-41.0,43,87.938764
-40.0,42,87.947272
-41.0,43,87.950274
-41.0,43,87.981839
-41.0,43,87.989347
-41.0,43,87.99235
-38.0,40,88.035962
-41.0,43,88.05149
-42.0,44,88.056008
-38.0,40,88.085569
-40.0,42,88.099108
-40.0,42,88.10964
-39.0,41,88.137234
-40.0,42,88.153753
-39.0,41,88.156753
-42.0,44,88.191814
-41.0,43,88.208882
-39.0,41,88.209882
-40.0,42,88.249969
-40.0,42,88.267005
-40.0,42,88.270004
-40.0,42,88.399788
-40.0,42,88.43135
-39.0,41,88.43135
-38.0,40,88.468411
-39.0,41,88.485955
-39.0,41,88.485955
-41.0,43,88.517553
-39.0,41,88.562175
-41.0,43,88.568698
-42.0,44,88.624329
-39.0,41,88.635347
-39.0,41,88.638858
-40.0,42,88.679431
-39.0,41,88.688966
-42.0,44,88.69447
-42.0,44,88.732552
-39.0,41,88.739076
-40.0,42,88.746109
-43.0,45,88.883563
-41.0,43,88.889091
-42.0,44,88.896603
-38.0,40,88.932655
-38.0,40,88.935654
-38.0,40,88.942178
-39.0,41,88.974738
-40.0,42,88.980822
-41.0,43,88.988821
-38.0,40,89.020386
-40.0,42,89.033912
-37.0,39,89.040917
-39.0,41,89.076974
-37.0,39,89.088493
-45.0,47,89.093496
-42.0,44,89.128064
-39.0,41,89.146089
-43.0,45,89.147087
-40.0,42,89.18475
-38.0,40,89.19326
-41.0,43,89.197271
-39.0,41,89.327096
-38.0,40,89.337618
-39.0,41,89.344131
-40.0,42,89.379239
-40.0,42,89.38574
-38.0,40,89.38875
-41.0,43,89.429491
-39.0,41,89.434006
-38.0,40,89.437005
-44.0,46,89.493129
-41.0,43,89.494142
-45.0,47,89.501133
-40.0,42,89.538713
-40.0,42,89.539711
-42.0,44,89.550227
-41.0,43,89.603829
-40.0,42,89.603829
-43.0,45,89.617348
-38.0,40,89.6464
-41.0,43,89.649403
-40.0,42,89.756177
-38.0,40,89.788734
-38.0,40,89.792257
-46.0,48,89.810784
-39.0,41,89.840954
-40.0,42,89.847478
-41.0,43,89.867525
-40.0,42,89.88824
-39.0,41,89.891248
-40.0,42,89.913279
-40.0,42,89.935811
-39.0,41,89.946324
-37.0,39,89.968348
-40.0,42,90.026464
-41.0,43,90.029472
-38.0,40,90.057551
-39.0,41,90.086608
-40.0,42,90.092133
-42.0,44,90.211906
-41.0,43,90.232425
-40.0,42,90.235429
-40.0,42,90.252462
-39.0,41,90.276492
-39.0,41,90.279492
-40.0,42,90.309721
-40.0,42,90.337776
-39.0,41,90.339776
-40.0,42,90.360806
-39.0,41,90.414447
-40.0,42,90.431497
-39.0,41,90.459672
-39.0,41,90.485213
-40.0,42,90.490217
-39.0,41,90.507254
-39.0,41,90.52828
-42.0,44,90.538301
-38.0,40,90.649572
-40.0,42,90.67912
-40.0,42,90.686624
-40.0,42,90.700156
-36.0,38,90.726183
-45.0,47,90.728184
-43.0,45,90.748717
-39.0,41,90.775814
-40.0,42,90.778814
-41.0,43,90.810363
-42.0,44,90.834464
-42.0,44,90.837984
-38.0,40,96.530627
-39.0,41,96.554672
-39.0,41,96.558683
-38.0,40,96.588269
-36.0,38,96.615321
-39.0,41,96.621832
-39.0,41,96.639022
-37.0,39,96.663498
-37.0,39,96.672007
-37.0,39,96.696052
-38.0,40,96.720092
-38.0,40,96.727602
-39.0,41,96.745726
-37.0,39,96.769788
-37.0,39,96.781318
-39.0,41,96.813885
-38.0,40,96.837934
-38.0,40,96.928678
-37.0,39,96.97128
-38.0,40,96.992303
-41.0,43,97.001817
-38.0,40,97.018347
-40.0,42,97.049971
-42.0,44,97.064487
-40.0,42,97.079535
-39.0,41,97.104559
-41.0,43,97.122597
-39.0,41,97.134105
-39.0,41,97.168642
-38.0,40,97.185668
-38.0,40,97.196196
-39.0,41,97.217772
-37.0,39,97.229287
-38.0,40,97.244334
-38.0,40,97.26831
-38.0,40,97.279836
-38.0,40,97.413685
-37.0,39,97.434723
-37.0,39,97.443751
-37.0,39,97.472317
-37.0,39,97.492426
-38.0,40,97.506977
-38.0,40,97.51949
-38.0,40,97.54555
-37.0,39,97.556074
-38.0,40,97.570616
-38.0,40,97.597657
-39.0,41,97.610689
-40.0,42,97.628228
-38.0,40,97.64778
-41.0,43,97.70991
-37.0,39,97.722424
-37.0,39,97.755136
-40.0,42,97.779174
-38.0,40,97.796201
-39.0,41,97.946575
-38.0,40,97.966606
-37.0,39,97.972111
-38.0,40,97.993153
-39.0,41,98.010675
-38.0,40,98.015178
-38.0,40,98.047265
-38.0,40,98.071984
-41.0,43,98.081517
-37.0,39,98.099041
-37.0,39,98.125605
-37.0,39,98.135117
-39.0,41,98.16821
